['SN2023ols', 'host', np.float64(206.79706349999887), np.float64(-0.995597723), '']
['SN2023ono', 'host', np.float64(294.1150049999999), np.float64(-22.502619), '']
['SN2023ozo', 'host', np.float64(71.56499999999936), np.float64(-1.907069), '']
['SN2023pbk', 'host', np.float64(290.97874499999995), np.float64(-35.707931), '']
['SN2023pel', 'host', np.float64(136.96768349999968), np.float64(47.858962), '']
['SN2023plg', 'host', np.float64(198.9475049999997), np.float64(24.95875), '']
['SN2023qdi', 'host', np.float64(154.8710898), np.float64(-14.23090285), '']
['SN2023qre', 'host', np.float64(11.199280499999132), np.float64(6.138471428), '']
['SN2023rkg', 'host', np.float64(230.8975049999992), np.float64(-22.121739), '']
['SN2023rve', 'host', np.float64(263.6331299999999), np.float64(-30.239489), '']
['SN2023ryf', 'host', np.float64(43.98452249999905), np.float64(-8.229524462), '']
['SN2023rzy', 'host', np.float64(281.25303494999997), np.float64(1.693522662), '']
['SN2023sci', 'host', np.float64(45.265007999999646), np.float64(14.20067807), '']
['SN2023sci', 'host', np.float64(45.265007999999646), np.float64(14.20067807), '']
['SN2023sfl', 'host', np.float64(302.43667485), np.float64(32.23733645), '']
['SN2023taz', 'host', np.float64(102.33165584999992), np.float64(-23.67985359), '']
['SN2023taz', 'host', np.float64(102.33165584999992), np.float64(-23.67985359), '']
['SN2023tde', 'host', np.float64(24.308885999999458), np.float64(39.3185727), '']
['SN2023tsz', 'host', np.float64(140.59562999999974), np.float64(-0.043261), '']
['SN2023txv', 'host', np.float64(92.32124999999988), np.float64(-64.2811), '']
['SN2023ucy', 'host', np.float64(321.37436999999915), np.float64(40.751611), '']
['SN2023ufx', 'host', np.float64(93.22298849999987), np.float64(21.2953198), '']
['SN2023uqf', 'host', np.float64(351.8219294999998), np.float64(25.1157953), '']
['SN2023utc', 'host', np.float64(269.9472029999999), np.float64(53.71738989), '']
['SN2023vbg', 'host', np.float64(298.98640049999966), np.float64(34.37501606), '']
